,state_location,zip_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
7067,MT,59524,1,27.0,9.0,4.0,0.0,5.0,150000.0,450000.0,10000.0
7068,MT,59526,1,137.0,28.0,13.0,0.0,26.0,395537.0,657453.38,327265.0
7069,MT,59527,1,78.0,15.0,9.0,1.0,19.0,312001.0,547362.31,92828.0
7070,MT,59538,1,137.0,35.0,13.0,0.0,42.0,767630.0,767630.0,500000.0
7071,MT,59540,1,51.0,15.0,6.0,0.0,0.0,370000.0,462000.0,370000.0
7072,MT,59542,1,20.0,3.0,4.0,0.0,0.0,359041.0,540799.75,132549.0
7073,MT,59544,1,9.0,4.0,4.0,0.0,1.0,236674.0,284014.0,60000.0
7074,MT,59601,2,1440.0,318.0,94.0,0.0,374.0,6957054.5,9162446.5,5791850.5
7075,MT,59632,1,261.0,55.0,16.0,0.0,55.0,893658.0,1520225.12,1065549.0
7076,MT,59639,1,40.0,9.0,5.0,0.0,10.0,191610.0,229946.3,34998.0
7077,MT,59644,1,227.0,51.0,16.0,0.0,42.0,787066.0,979752.31,160493.0
7078,MT,59645,1,62.0,13.0,8.0,0.0,1.0,306169.0,368972.34,107671.0
7079,MT,59701,1,1206.0,276.0,76.0,0.0,260.0,4591715.0,6036516.5,704985.0
7080,MT,59711,1,321.0,65.0,19.0,0.0,92.0,1229760.0,1358136.5,200569.0
7081,MT,59714,1,900.0,200.0,56.0,0.0,216.0,3004541.0,3919557.25,4067587.0
7082,MT,59715,1,2157.0,515.0,132.0,15.0,557.0,6872788.0,8546573.0,958624.0
7083,MT,59722,1,193.0,39.0,15.0,0.0,40.0,871453.0,1159172.0,944171.0
7084,MT,59725,1,310.0,71.0,20.0,1.0,88.0,1310381.0,1851985.75,689687.0
7085,MT,59729,1,110.0,27.0,11.0,0.0,30.0,502134.0,703538.12,112953.0
7086,MT,59730,1,101.0,26.0,9.0,0.0,21.0,450000.0,700000.0,25000.0
7087,MT,59735,1,30.0,8.0,5.0,0.0,6.0,180815.0,304219.0,137360.0
7088,MT,59739,1,20.0,4.0,4.0,0.0,3.0,200416.0,297486.06,326160.0
7089,MT,59741,1,256.0,58.0,17.0,0.0,56.0,1013745.0,1181147.62,128665.0
7090,MT,59749,1,55.0,10.0,8.0,0.0,19.0,399897.0,493394.0,678000.0
7091,MT,59752,1,195.0,40.0,12.0,0.0,39.0,653826.0,1042907.31,523428.0
