,crdc_id,year,ncessch,leaid,fips,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
1057,450363000349,2013,450363000349,4503630,45,1825269,2555303.060,2101029,,,,78537.000,,,
1058,450363000815,2013,450363000815,4503630,45,2396157,3092418.950,2463758,,,,116790.000,,,
1059,450363001024,2013,450363001024,4503630,45,1137176,1503606.550,1238964,,,,50067.000,,,
1060,450363001025,2013,450363001025,4503630,45,1949033,2707312.660,2248678,,,,92997.000,,,
1061,450363001027,2013,450363001027,4503630,45,821683,1355801.660,1002480,,,,32899.000,,,
1062,450363001028,2013,450363001028,4503630,45,1530945,2135005.080,1723697,,,,56567.000,,,
1063,450363001031,2013,450363001031,4503630,45,1116566,149104625.300,1116566,,,,69879.000,,,
1064,450363001032,2013,450363001032,4503630,45,2273920,2992000.990,2503153,,,,94934.000,,,
1065,450363001033,2013,450363001033,4503630,45,1344838,1856997.640,1471268,,,,74009.000,,,
1066,450363001038,2013,450363001038,4503630,45,5917083,8813959.390,6900383,,,,1663335.000,,,
1067,450363001314,2013,450363001314,4503630,45,2418033,3110367.980,2603733,,,,338431.000,,,
1068,450363001315,2013,450363001315,4503630,45,2453572,3166483.990,2592245,,,,124265.000,,,
1069,450363001316,2013,450363001316,4503630,45,2682544,3366321.530,2798507,,,,126923.000,,,
1070,450366001040,2013,450366001040,4503660,45,1433961,1954708.450,1508081,,,,117585.000,,,
1071,450366001041,2013,450366001041,4503660,45,2502343,3666220.190,2779140,,,,159654.000,,,
1072,450366001042,2013,450366001042,4503660,45,1474762,2240252.640,1729333,,,,107495.000,,,
1073,450366001043,2013,450366001043,4503660,45,1474762,2240252.640,1729333,,,,107495.000,,,
1074,450366001046,2013,450366001046,4503660,45,2191061,3003606.490,2338320,,,,361114.000,,,
1075,450366001047,2013,450366001047,4503660,45,1213952,1699685.600,1272782,,,,58946.000,,,
1076,450366001048,2013,450366001048,4503660,45,1297870,1802590.090,1403158,,,,67143.000,,,
1077,450366001049,2013,450366001049,4503660,45,1871263,2784366.090,2043940,,,,67349.000,,,
1078,450366001051,2013,450366001051,4503660,45,2677439,3535306.630,2814062,,,,408040.000,,,
1079,450366001052,2013,450366001052,4503660,45,4946858,7421446.820,5426313,,,,651470.000,,,
1080,450366001055,2013,450366001055,4503660,45,2478981,5170164.200,3548322,,,,1814059.000,,,
1081,450366001570,2013,450366001570,4503660,45,1720168,2303284.290,1756607,,,,102999.000,,,
1082,450366001583,2013,450366001583,4503660,45,-2,-2.000,-2,,,,-2.000,,,
1083,450366099998,2013,,,45,1440826,2215840.300,1597419,,,,306997.000,,,
1084,450375001082,2013,450375001082,4503750,45,1932876,2385782.050,2061599,,,,169444.000,,,
1085,450375001085,2013,450375001085,4503750,45,1528317,1876503.340,1616838,,,,166929.000,,,
1086,450375001086,2013,450375001086,4503750,45,804858,1016269.430,838307,,,,104814.000,,,
1087,450375001088,2013,450375001088,4503750,45,1342660,1674270.100,1414649,,,,140879.000,,,
1088,450375001089,2013,450375001089,4503750,45,2776761,3217014.050,2862057,,,,520214.000,,,
1089,450375001090,2013,450375001090,4503750,45,804858,1016269.430,838307,,,,104814.000,,,
1090,450375001091,2013,450375001091,4503750,45,932485,1132325.910,954114,,,,113712.000,,,
1091,450375001092,2013,450375001092,4503750,45,2874986,3374249.330,2935668,,,,820140.000,,,
1092,450378001094,2013,450378001094,4503780,45,696247,1179635.000,884757,,,,5281.000,,,
1093,450378001096,2013,450378001096,4503780,45,615233,851223.600,693485,,,,1762.000,,,
1094,450378001099,2013,450378001099,4503780,45,766632,1030947.000,766632,,,,6022.000,,,
1095,450378001107,2013,450378001107,4503780,45,688092,1128236.000,742056,,,,4153.000,,,
1096,450378001108,2013,450378001108,4503780,45,706972,998499.500,730992,,,,67411.000,,,
1097,450378001111,2013,450378001111,4503780,45,1046269,1569245.000,1148227,,,,60450.000,,,
1098,450378001112,2013,450378001112,4503780,45,713868,901142.000,754114,,,,67411.000,,,
1099,450378001371,2013,450378001371,4503780,45,383312,665547.240,442578,,,,1884.000,,,
1100,450378001519,2013,450378001519,4503780,45,1030707,1418320.000,1097919,,,,7785.000,,,
1101,450378001559,2013,450378001559,4503780,45,471699,668106.500,471699,,,,2903.000,,,
1102,450378001584,2013,450378001584,4503780,45,841805,1103714.200,901071,,,,5656.000,,,
1103,450378001624,2013,450378001624,4503780,45,311052,488536.250,311052,,,,1803.000,,,
1104,450381000366,2013,450381000366,4503810,45,1051879,1436463.000,1247773,,,,215538.000,,,
1105,450381001120,2013,450381001120,4503810,45,982228,1334143.000,1187283,,,,221924.000,,,
1106,450381001122,2013,450381001122,4503810,45,3804490,4471555.000,3990128,,,,2225656.000,,,
1107,450381001412,2013,450381001412,4503810,45,2068829,2390470.000,2151897,,,,659551.000,,,
1108,450381001422,2013,450381001422,4503810,45,1214122,1493760.000,1295144,,,,188892.000,,,
1109,450381001456,2013,450381001456,4503810,45,855220,1111618.000,975469,,,,243285.000,,,
1110,450381001557,2013,450381001557,4503810,45,2260255,2662133.000,2354401,,,,231396.000,,,
1111,450381001577,2013,450381001577,4503810,45,759296,1138451.000,1006078,,,,99467.000,,,
1112,450384000044,2013,450384000044,4503840,45,1457112,2218756.530,1685518,,,,480294.000,,,
1113,450384000522,2013,450384000522,4503840,45,3063028,4613675.750,3483269,,,,1272381.000,,,
1114,450384001100,2013,450384001100,4503840,45,2488089,3798726.980,2711540,,,,1086776.000,,,
1115,450384001124,2013,450384001124,4503840,45,1397032,2119596.980,1591101,,,,399027.000,,,
1116,450384001125,2013,450384001125,4503840,45,1323671,2049950.240,1545088,,,,394002.000,,,
1117,450384001126,2013,450384001126,4503840,45,1048614,1821120.340,1245084,,,,376200.000,,,
1118,450384001127,2013,450384001127,4503840,45,2079025,3306393.460,2200690,,,,647760.000,,,
1119,450384001129,2013,450384001129,4503840,45,6833734,9718536.860,7234595,,,,2272234.000,,,
1120,450384001539,2013,450384001539,4503840,45,1744728,2748029.770,1964431,,,,720249.000,,,
1121,450387000537,2013,450387000537,4503870,45,3321657,3591971.100,3321657,,,,270313.000,,,
1122,450387000816,2013,450387000816,4503870,45,2081071,2176664.690,2081071,,,,95593.000,,,
1123,450387000817,2013,450387000817,4503870,45,-2,-2.000,-2,,,,-2.000,,,
1124,450387001004,2013,450387001004,4503870,45,5259800,5873230.860,5259800,,,,613430.000,,,
1125,450387001006,2013,450387001006,4503870,45,0,0.000,0,,,,0.000,,,
1126,450387001131,2013,450387001131,4503870,45,1719836,1776853.570,1719836,,,,57017.000,,,
1127,450387001132,2013,450387001132,4503870,45,1350607,1389365.300,1350607,,,,38757.000,,,
1128,450387001133,2013,450387001133,4503870,45,2252058,2348473.410,2252058,,,,96415.000,,,
1129,450387001135,2013,450387001135,4503870,45,1528546,1568064.790,1528546,,,,39517.000,,,
1130,450387001136,2013,450387001136,4503870,45,1674187,1731140.200,1674187,,,,56952.000,,,
1131,450387001137,2013,450387001137,4503870,45,2079227,2153699.190,2079227,,,,74471.000,,,
1132,450387001138,2013,450387001138,4503870,45,1666090,1727287.690,1666090,,,,61197.000,,,
1133,450387001139,2013,450387001139,4503870,45,2256056,2333620.580,2256056,,,,77564.000,,,
1134,450387001140,2013,450387001140,4503870,45,2039756,2114488.970,2039756,,,,74732.000,,,
1135,450387001141,2013,450387001141,4503870,45,1789156,1868562.870,1789156,,,,79406.000,,,
1136,450387001143,2013,450387001143,4503870,45,1453193,1504606.700,1453193,,,,51413.000,,,
1137,450387001144,2013,450387001144,4503870,45,1773434,1836773.120,1773434,,,,63338.000,,,
1138,450387001145,2013,450387001145,4503870,45,1700976,1737241.090,1700976,,,,36264.000,,,
1139,450387001146,2013,450387001146,4503870,45,3143949,3394820.980,3143949,,,,250871.000,,,
1140,450387001147,2013,450387001147,4503870,45,3414809,3663313.130,3414809,,,,248503.000,,,
1141,450387001148,2013,450387001148,4503870,45,2905555,3119735.900,2905555,,,,214179.000,,,
1142,450387001149,2013,450387001149,4503870,45,6487381,7064409.400,6487381,,,,577027.000,,,
1143,450387001150,2013,450387001150,4503870,45,7103814,7697138.480,7103814,,,,593324.000,,,
1144,450387001464,2013,450387001464,4503870,45,1645785,1697536.200,1645785,,,,51750.000,,,
1145,450387001491,2013,450387001491,4503870,45,2196315,2263652.530,2196315,,,,67337.000,,,
1146,450387001516,2013,450387001516,4503870,45,1861414,1918520.780,1861414,,,,57106.000,,,
1147,450387001526,2013,450387001526,4503870,45,3431932,3697598.300,3431932,,,,265665.000,,,
1148,450387099999,2013,,,45,287694,340015.210,287694,,,,52320.000,,,
1149,450390000062,2013,450390000062,4503900,45,2525682,3431639.150,2894464,,,,97835.000,,,
1150,450390000368,2013,450390000368,4503900,45,2115530,2812950.040,2246965,,,,82384.000,,,
1151,450390000663,2013,450390000663,4503900,45,2417087,3435839.750,2834401,,,,137703.000,,,
1152,450390000666,2013,450390000666,4503900,45,2013857,2689095.490,2222988,,,,75017.000,,,
1153,450390001102,2013,450390001102,4503900,45,2154911,2921846.410,2330533,,,,79934.000,,,
1154,450390001103,2013,450390001103,4503900,45,4477635,6072100.850,4772455,,,,267646.000,,,
1155,450390001153,2013,450390001153,4503900,45,2463326,3223571.500,2728334,,,,91452.000,,,
1156,450390001154,2013,450390001154,4503900,45,1641647,2502461.730,1911520,,,,80526.000,,,
1157,450390001155,2013,450390001155,4503900,45,1949707,2765224.420,2053187,,,,70488.000,,,
1158,450390001156,2013,450390001156,4503900,45,4916313,6129015.410,4976379,,,,306564.000,,,
1159,450390001529,2013,450390001529,4503900,45,2222098,3012937.570,2538608,,,,93116.000,,,
1160,450390001535,2013,450390001535,4503900,45,2402264,3155366.950,2694158,,,,92186.000,,,
1161,450390001564,2013,450390001564,4503900,45,1897537,2621226.620,2036709,,,,94209.000,,,
1162,450390101176,2013,450390101176,4503901,45,1161024,1607317.000,1161024,,,,1248422.000,,,
1163,450390101510,2013,450390101510,4503901,45,421531,497164.120,428625,,,,2440465.000,,,
1164,450390101513,2013,450390101513,4503901,45,3031877,3986569.000,3031877,,,,6490972.000,,,
1165,450390101520,2013,450390101520,4503901,45,924022,4193403.290,924022,,,,13013602.000,,,
1166,450390101527,2013,450390101527,4503901,45,487378,974653.000,514243,,,,2699483.000,,,
1167,450390101534,2013,450390101534,4503901,45,335100,437100.000,335100,,,,721784.000,,,
1168,450390101541,2013,450390101541,4503901,45,1222479,1730607.000,1333392,,,,1806841.000,,,
1169,450390101542,2013,450390101542,4503901,45,868157,1157360.000,868157,,,,779253.000,,,
