,crdc_id,year,fips,leaid,ncessch,school_name_crdc,schoolid_crdc,lea_name,leaid_crdc,lea_state,prek,k,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ug,primarily_serve_students_w_dis,charter_crdc,magnet_crdc,entire_school_magnet,alt_school,alt_school_focus,ability_grouped_math_or_eng,ug_elementary_school,ug_middle_school,ug_high_school
0,450000100063,2013,45,4500001,450000100063,LEE HIGH,00063,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-2,0,-2,,-2,-2,-2
1,450000100148,2013,45,4500001,450000100148,TRENTON HIGH,00148,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
2,450000100238,2013,45,4500001,450000100238,TURBEVILLE HIGH,00238,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
3,450000100255,2013,45,4500001,450000100255,TYGER RIVER HIGH,00255,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
4,450000100266,2013,45,4500001,450000100266,RIDGELAND HIGH,00266,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
5,450000100939,2013,45,4500001,450000100939,MANNING HIGH,00939,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
6,450000101376,2013,45,4500001,450000101376,MACDOUGALL HIGH,01376,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
7,450000101378,2013,45,4500001,450000101378,SARA BABB HIGH,01378,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
8,450000101413,2013,45,4500001,450000101413,KIRKLAND HIGH,01413,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
9,450000101423,2013,45,4500001,450000101423,WATEREE RIVER HIGH,01423,DEPT OF CORRECTION N04,4500001,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
10,450000200435,2013,45,4500002,450000200435,HARLEYVILLE ELEMENTARY,00435,DORCHESTER 04,4500002,SC,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
11,450000200439,2013,45,4500002,450000200439,ST. GEORGE MIDDLE,00439,DORCHESTER 04,4500002,SC,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
12,450000200444,2013,45,4500002,450000200444,WILLIAM MEMORIAL ELEMENTARY,00444,DORCHESTER 04,4500002,SC,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
13,450000200445,2013,45,4500002,450000200445,WOODLAND HIGH,00445,DORCHESTER 04,4500002,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
14,450000201597,2013,45,4500002,450000201597,HARLEYVILLE-RIDGEVILLE MIDDLE,01597,DORCHESTER 04,4500002,SC,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
15,450000201600,2013,45,4500002,450000201600,CLAY HILL ELEMENTARY,01600,DORCHESTER 04,4500002,SC,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
16,450000301401,2013,45,4500003,450000301401,FELTON LABORATORY,01401,FELTON LAB SCH SC H24,4500003,SC,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
17,450000401226,2013,45,4500004,450000401226,SC SCHOOL FOR THE BLIND HIGH,01226,DEAF & BLIND SCHOOL,4500004,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,-2,0,-2,,-2,-2,-2
18,450000401227,2013,45,4500004,450000401227,SC SCHOOL FOR THE DEAF HIGH,01227,DEAF & BLIND SCHOOL,4500004,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,-2,0,-2,,-2,-2,-2
