,state_location,school_counts,enrollment_mean,g9_enrollment_mean,g10_enrollment_mean,g11_enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
0,AK,48,554.0,148.0,145.0,137.0,124.0,30.0,8.0,133.0,2158340.67,2977432.74,375157.12
1,AL,279,705.0,191.0,183.0,170.0,161.0,40.0,5.0,191.0,2084060.81,3259904.97,698079.92
2,AR,259,508.0,132.0,133.0,126.0,117.0,41.0,2.0,163.0,1789216.4,2440478.67,1066876.45
3,AZ,421,717.0,184.0,181.0,172.0,179.0,54.0,11.0,109.0,1559854.43,2537615.13,455948.45
4,CA,1253,1369.0,360.0,356.0,331.0,322.0,58.0,5.0,226.0,4278165.83,6409906.05,1069519.25
5,CO,281,784.0,207.0,201.0,189.0,187.0,42.0,14.0,182.0,2381441.62,3223684.51,3079506.14
6,CT,169,847.0,221.0,212.0,210.0,208.0,68.0,7.0,278.0,4880917.6,6721597.74,1262602.7
7,DC,25,485.0,162.0,116.0,105.0,102.0,44.0,2.0,151.0,3699626.52,6658235.1,1206458.7
8,DE,27,1073.0,304.0,279.0,250.0,240.0,69.0,7.0,242.0,4409897.89,5714188.59,1055758.81
9,FL,478,1569.0,427.0,412.0,384.0,349.0,83.0,11.0,458.0,3137591.19,4235301.23,596345.1
10,GA,393,1233.0,359.0,326.0,283.0,265.0,71.0,11.0,229.0,3597054.47,4710393.63,644799.56
11,HI,39,1219.0,340.0,328.0,290.0,262.0,78.0,4.0,333.0,3307668.15,4565884.93,778346.38
12,IA,301,460.0,117.0,117.0,113.0,113.0,32.0,5.0,85.0,1798639.9,2463150.6,625532.49
13,ID,112,655.0,167.0,173.0,165.0,151.0,35.0,4.0,170.0,1569480.72,2299984.14,410658.71
14,IL,660,870.0,229.0,225.0,210.0,207.0,56.0,9.0,199.0,3884875.56,5337441.33,3081468.9
15,IN,353,854.0,228.0,217.0,210.0,201.0,51.0,4.0,159.0,2514443.88,3392491.68,847579.93
16,KS,308,433.0,115.0,111.0,105.0,102.0,31.0,2.0,100.0,1503323.35,1979239.34,568235.28
17,KY,218,848.0,234.0,220.0,204.0,189.0,49.0,2.0,323.0,2488976.17,3459102.43,400512.05
18,LA,211,805.0,240.0,210.0,184.0,172.0,40.0,7.0,206.0,2523320.13,3288593.15,580963.11
19,MA,287,827.0,214.0,208.0,204.0,201.0,66.0,6.0,192.0,5528885.85,6547939.06,787261.88
20,MD,185,1253.0,344.0,328.0,293.0,289.0,78.0,13.0,351.0,5592808.6,7020595.57,599466.56
21,ME,106,461.0,116.0,115.0,115.0,116.0,38.0,3.0,122.0,2050504.68,2808917.44,688686.02
22,MI,587,691.0,178.0,182.0,168.0,164.0,34.0,5.0,164.0,1969980.07,2575218.93,561930.75
23,MN,401,578.0,149.0,147.0,144.0,140.0,35.0,3.0,161.0,2164387.0,2984787.47,846280.46
24,MO,487,526.0,138.0,134.0,128.0,125.0,36.0,3.0,156.0,1844768.56,2459096.73,1988107.29
25,MS,200,624.0,172.0,168.0,147.0,138.0,42.0,6.0,186.0,2002622.9,2559349.15,537790.4
26,MT,168,249.0,66.0,63.0,61.0,58.0,18.0,1.0,62.0,987037.42,1418182.69,449941.24
27,NC,475,909.0,259.0,237.0,216.0,198.0,54.0,4.0,194.0,2329318.71,2950787.52,357464.7
28,ND,164,162.0,41.0,40.0,42.0,44.0,16.0,1.0,46.0,988070.03,1411011.7,842022.71
29,NE,272,337.0,84.0,85.0,81.0,87.0,27.0,5.0,87.0,1602208.64,2170770.82,492561.79
30,NH,91,626.0,165.0,159.0,152.0,151.0,52.0,7.0,155.0,2923264.51,4291344.96,1512962.35
31,NJ,352,1035.0,264.0,261.0,257.0,252.0,87.0,6.0,284.0,6222860.22,8661894.31,1748876.84
32,NM,168,523.0,148.0,138.0,122.0,115.0,32.0,7.0,179.0,1588258.14,2485277.92,438922.88
33,NV,97,1315.0,345.0,340.0,331.0,308.0,58.0,29.0,360.0,3214138.75,4705309.16,1095621.37
34,NY,925,752.0,198.0,197.0,178.0,178.0,53.0,9.0,163.0,4368221.32,5940771.01,2444125.03
35,OH,779,615.0,170.0,163.0,141.0,142.0,36.0,4.0,142.0,2269655.62,3124123.77,928327.72
36,OK,450,390.0,105.0,101.0,95.0,89.0,24.0,2.0,121.0,1112325.06,1635221.1,546798.1
37,OR,229,707.0,182.0,179.0,171.0,176.0,33.0,9.0,104.0,1871588.32,2550599.49,534102.2
38,PA,587,804.0,210.0,205.0,198.0,196.0,56.0,7.0,183.0,3778207.99,4810367.95,1741471.5
39,RI,45,831.0,225.0,204.0,191.0,211.0,67.0,11.0,104.0,4801510.91,7082882.74,1103214.04
40,SC,203,1009.0,287.0,268.0,235.0,219.0,62.0,6.0,280.0,2864661.09,4075060.96,1186888.58
41,SD,160,223.0,60.0,58.0,54.0,51.0,16.0,2.0,53.0,668174.22,889444.71,471253.72
42,TN,284,809.0,215.0,210.0,197.0,189.0,50.0,4.0,227.0,2411630.86,3648976.86,432263.63
43,TX,1186,1111.0,307.0,291.0,271.0,248.0,74.0,8.0,200.0,3666715.59,5198319.96,1317234.04
44,UT,136,1180.0,265.0,324.0,309.0,283.0,42.0,6.0,426.0,2239426.88,3045151.28,702269.81
45,VA,306,1224.0,328.0,317.0,292.0,286.0,82.0,8.0,228.0,4085035.3,5409549.91,472932.62
46,VT,44,481.0,124.0,120.0,121.0,117.0,49.0,3.0,96.0,2838045.98,4097482.69,1895714.07
47,WA,335,894.0,219.0,231.0,222.0,222.0,46.0,16.0,149.0,2659826.68,3643812.62,444848.15
48,WI,439,559.0,143.0,141.0,138.0,138.0,36.0,6.0,152.0,1999525.24,2734138.86,609251.14
49,WV,102,713.0,197.0,184.0,168.0,164.0,47.0,3.0,119.0,2222928.65,2874392.29,772127.36
50,WY,61,414.0,113.0,107.0,98.0,96.0,31.0,2.0,94.0,1797593.7,2477143.13,1049206.28
