,crdc_id,year,ncessch,leaid,fips,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
0,450000100063,2015,450000100063,4500001,45,302014,393442.000,,0.000,0.000,0.000,33488.000,0.000,0.000,0.000
1,450000100148,2015,450000100148,4500001,45,316490,401634.000,,0.000,0.000,0.000,41588.000,0.000,0.000,0.000
2,450000100238,2015,450000100238,4500001,45,293545,320611.000,,0.000,0.000,0.000,105982.000,0.000,0.000,0.000
3,450000100255,2015,450000100255,4500001,45,367555,437304.000,,0.000,0.000,0.000,55594.000,0.000,0.000,0.000
4,450000100266,2015,450000100266,4500001,45,70734,140232.000,,0.000,0.000,0.000,104526.000,0.000,0.000,0.000
5,450000100939,2015,450000100939,4500001,45,304374,377807.600,,0.000,0.000,0.000,24507.000,0.000,0.000,0.000
6,450000101376,2015,450000101376,4500001,45,239129,271752.720,,0.000,0.000,0.000,24507.000,0.000,0.000,0.000
7,450000101378,2015,450000101378,4500001,45,121894,190319.000,,0.000,0.000,0.000,52643.000,0.000,0.000,0.000
8,450000101423,2015,450000101423,4500001,45,202572,360012.000,,0.000,0.000,0.000,164070.000,0.000,0.000,0.000
9,450000200435,2015,450000200435,4500002,45,1025370,1708898.000,,123873.000,270989.000,217374.000,907954.000,5.760,12.600,4.000
10,450000200439,2015,450000200439,4500002,45,814640,1621005.000,,131131.000,402511.000,228304.000,377769.000,5.000,14.300,4.000
11,450000200444,2015,450000200444,4500002,45,2230497,3361927.000,,281996.000,450942.000,186226.000,2235647.000,15.750,27.000,3.500
12,450000200445,2015,450000200445,4500002,45,1841528,3362969.000,,90731.000,621046.000,351974.000,2845815.000,4.500,26.900,6.000
13,450000201597,2015,450000201597,4500002,45,849583,1455280.000,,85418.000,228575.000,2417697.000,918980.000,5.000,8.940,4.000
14,450000201600,2015,450000201600,4500002,45,825388,1304505.000,,45046.000,253856.000,160373.000,1327556.000,2.000,9.000,3.000
15,450000401226,2015,450000401226,4500004,45,282786,435296.000,,58916.000,57915.000,35679.000,12073.000,2.400,1.600,0.400
16,450000401227,2015,450000401227,4500004,45,357997,465417.000,,46738.000,21819.000,38863.000,12864.000,2.250,0.900,0.450
17,450000401228,2015,450000401228,4500004,45,437552,568844.000,,57125.000,26667.000,47500.000,15722.000,2.750,1.100,0.550
18,450000401246,2015,450000401246,4500004,45,334983,563748.000,,88375.000,86872.000,53748.000,18110.000,3.600,2.400,0.600
19,450000401402,2015,450000401402,4500004,45,701044,1187493.000,,281344.000,55325.000,149780.000,31824.000,13.000,2.000,3.000
20,450069000002,2015,450069000002,4500690,45,735922,1212331.000,,37710.000,342870.000,95829.000,686453.000,3.000,3.000,1.000
