,crdc_id,fips,year,ncessch,leaid,grade,race,sex,disability,lep,students_retained
79,450000100255,45,2017,450000100255,4500001,12,3,2,99,99,-2.0
80,450000100255,45,2017,450000100255,4500001,12,3,99,99,99,
81,450000100255,45,2017,450000100255,4500001,12,4,1,99,99,-2.0
82,450000100255,45,2017,450000100255,4500001,12,4,2,99,99,-2.0
83,450000100255,45,2017,450000100255,4500001,12,4,99,99,99,
84,450000100255,45,2017,450000100255,4500001,12,5,1,99,99,-2.0
85,450000100255,45,2017,450000100255,4500001,12,5,2,99,99,-2.0
86,450000100255,45,2017,450000100255,4500001,12,5,99,99,99,
87,450000100255,45,2017,450000100255,4500001,12,6,1,99,99,-2.0
88,450000100255,45,2017,450000100255,4500001,12,6,2,99,99,-2.0
89,450000100255,45,2017,450000100255,4500001,12,6,99,99,99,
90,450000100255,45,2017,450000100255,4500001,12,7,1,99,99,-2.0
91,450000100255,45,2017,450000100255,4500001,12,7,2,99,99,-2.0
92,450000100255,45,2017,450000100255,4500001,12,7,99,99,99,
93,450000100255,45,2017,450000100255,4500001,12,99,1,99,99,-2.0
94,450000100255,45,2017,450000100255,4500001,12,99,2,99,99,-2.0
95,450000100255,45,2017,450000100255,4500001,12,99,99,99,99,
96,450000100266,45,2017,450000100266,4500001,12,1,1,99,99,-2.0
97,450000100266,45,2017,450000100266,4500001,12,1,2,99,99,-2.0
98,450000100266,45,2017,450000100266,4500001,12,1,99,99,99,
99,450000100266,45,2017,450000100266,4500001,12,2,1,99,99,-2.0
100,450000100266,45,2017,450000100266,4500001,12,2,2,99,99,-2.0
101,450000100266,45,2017,450000100266,4500001,12,2,99,99,99,
102,450000100266,45,2017,450000100266,4500001,12,3,1,99,99,-2.0
103,450000100266,45,2017,450000100266,4500001,12,3,2,99,99,-2.0
104,450000100266,45,2017,450000100266,4500001,12,3,99,99,99,
105,450000100266,45,2017,450000100266,4500001,12,4,1,99,99,-2.0
106,450000100266,45,2017,450000100266,4500001,12,4,2,99,99,-2.0
107,450000100266,45,2017,450000100266,4500001,12,4,99,99,99,
108,450000100266,45,2017,450000100266,4500001,12,5,1,99,99,-2.0
109,450000100266,45,2017,450000100266,4500001,12,5,2,99,99,-2.0
