,year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
0,2016,450000100063,450000100063,12,5,2,0,45,4500001
1,2016,450000100063,450000100063,12,5,1,0,45,4500001
2,2016,450000100063,450000100063,12,4,2,0,45,4500001
3,2016,450000100063,450000100063,12,4,1,0,45,4500001
4,2016,450000100063,450000100063,12,2,2,0,45,4500001
5,2016,450000100063,450000100063,12,2,1,0,45,4500001
6,2016,450000100063,450000100063,12,3,2,0,45,4500001
7,2016,450000100063,450000100063,12,3,1,0,45,4500001
8,2016,450000100063,450000100063,12,6,2,0,45,4500001
9,2016,450000100063,450000100063,12,6,1,0,45,4500001
10,2016,450000100063,450000100063,12,9,9,0,45,4500001
11,2016,450000100063,450000100063,12,7,2,0,45,4500001
12,2016,450000100063,450000100063,12,7,1,0,45,4500001
13,2016,450000100063,450000100063,12,1,2,0,45,4500001
14,2016,450000100063,450000100063,12,1,1,0,45,4500001
15,2016,450000100063,450000100063,12,99,99,0,45,4500001
16,2016,450000100148,450000100148,12,5,2,0,45,4500001
17,2016,450000100148,450000100148,12,5,1,0,45,4500001
18,2016,450000100148,450000100148,12,4,2,0,45,4500001
19,2016,450000100148,450000100148,12,4,1,0,45,4500001
20,2016,450000100148,450000100148,12,2,2,0,45,4500001
21,2016,450000100148,450000100148,12,2,1,0,45,4500001
22,2016,450000100148,450000100148,12,3,2,0,45,4500001
23,2016,450000100148,450000100148,12,3,1,0,45,4500001
24,2016,450000100148,450000100148,12,6,2,0,45,4500001
25,2016,450000100148,450000100148,12,6,1,0,45,4500001
26,2016,450000100148,450000100148,12,9,9,0,45,4500001
27,2016,450000100148,450000100148,12,7,2,0,45,4500001
28,2016,450000100148,450000100148,12,7,1,0,45,4500001
29,2016,450000100148,450000100148,12,1,2,0,45,4500001
30,2016,450000100148,450000100148,12,1,1,0,45,4500001
31,2016,450000100148,450000100148,12,99,99,0,45,4500001
32,2016,450000100238,450000100238,12,5,2,0,45,4500001
33,2016,450000100238,450000100238,12,5,1,0,45,4500001
34,2016,450000100238,450000100238,12,4,2,0,45,4500001
35,2016,450000100238,450000100238,12,4,1,0,45,4500001
36,2016,450000100238,450000100238,12,2,2,0,45,4500001
