,year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
0,2019,450000100063,450000100063,12,5,2,0,45,4500001
1,2019,450000100063,450000100063,12,5,1,0,45,4500001
2,2019,450000100063,450000100063,12,4,2,0,45,4500001
3,2019,450000100063,450000100063,12,4,1,0,45,4500001
4,2019,450000100063,450000100063,12,2,2,0,45,4500001
5,2019,450000100063,450000100063,12,2,1,0,45,4500001
6,2019,450000100063,450000100063,12,3,2,0,45,4500001
7,2019,450000100063,450000100063,12,3,1,0,45,4500001
8,2019,450000100063,450000100063,12,6,2,0,45,4500001
9,2019,450000100063,450000100063,12,6,1,0,45,4500001
10,2019,450000100063,450000100063,12,9,9,0,45,4500001
11,2019,450000100063,450000100063,12,7,2,0,45,4500001
12,2019,450000100063,450000100063,12,7,1,0,45,4500001
13,2019,450000100063,450000100063,12,1,2,0,45,4500001
14,2019,450000100063,450000100063,12,1,1,0,45,4500001
15,2019,450000100063,450000100063,12,99,99,0,45,4500001
16,2019,450000100148,450000100148,12,5,2,0,45,4500001
17,2019,450000100148,450000100148,12,5,1,0,45,4500001
18,2019,450000100148,450000100148,12,4,2,0,45,4500001
19,2019,450000100148,450000100148,12,4,1,0,45,4500001
20,2019,450000100148,450000100148,12,2,2,0,45,4500001
21,2019,450000100148,450000100148,12,2,1,2,45,4500001
22,2019,450000100148,450000100148,12,3,2,0,45,4500001
23,2019,450000100148,450000100148,12,3,1,0,45,4500001
24,2019,450000100148,450000100148,12,6,2,0,45,4500001
25,2019,450000100148,450000100148,12,6,1,0,45,4500001
26,2019,450000100148,450000100148,12,9,9,0,45,4500001
27,2019,450000100148,450000100148,12,7,2,0,45,4500001
28,2019,450000100148,450000100148,12,7,1,0,45,4500001
29,2019,450000100148,450000100148,12,1,2,0,45,4500001
30,2019,450000100148,450000100148,12,1,1,0,45,4500001
31,2019,450000100148,450000100148,12,99,99,2,45,4500001
32,2019,450000100238,450000100238,12,5,2,0,45,4500001
33,2019,450000100238,450000100238,12,5,1,0,45,4500001
34,2019,450000100238,450000100238,12,4,2,0,45,4500001
35,2019,450000100238,450000100238,12,4,1,0,45,4500001
36,2019,450000100238,450000100238,12,2,2,0,45,4500001
37,2019,450000100238,450000100238,12,2,1,0,45,4500001
38,2019,450000100238,450000100238,12,3,2,0,45,4500001
39,2019,450000100238,450000100238,12,3,1,0,45,4500001
40,2019,450000100238,450000100238,12,6,2,0,45,4500001
41,2019,450000100238,450000100238,12,6,1,0,45,4500001
42,2019,450000100238,450000100238,12,9,9,0,45,4500001
43,2019,450000100238,450000100238,12,7,2,0,45,4500001
44,2019,450000100238,450000100238,12,7,1,0,45,4500001
45,2019,450000100238,450000100238,12,1,2,0,45,4500001
46,2019,450000100238,450000100238,12,1,1,1,45,4500001
47,2019,450000100238,450000100238,12,99,99,1,45,4500001
48,2019,450000100255,450000100255,12,5,2,0,45,4500001
49,2019,450000100255,450000100255,12,5,1,0,45,4500001
50,2019,450000100255,450000100255,12,4,2,0,45,4500001
51,2019,450000100255,450000100255,12,4,1,0,45,4500001
52,2019,450000100255,450000100255,12,2,2,0,45,4500001
53,2019,450000100255,450000100255,12,2,1,1,45,4500001
54,2019,450000100255,450000100255,12,3,2,0,45,4500001
55,2019,450000100255,450000100255,12,3,1,0,45,4500001
56,2019,450000100255,450000100255,12,6,2,0,45,4500001
57,2019,450000100255,450000100255,12,6,1,0,45,4500001
58,2019,450000100255,450000100255,12,9,9,0,45,4500001
59,2019,450000100255,450000100255,12,7,2,0,45,4500001
60,2019,450000100255,450000100255,12,7,1,0,45,4500001
61,2019,450000100255,450000100255,12,1,2,0,45,4500001
62,2019,450000100255,450000100255,12,1,1,0,45,4500001
63,2019,450000100255,450000100255,12,99,99,1,45,4500001
64,2019,450000100266,450000100266,12,5,2,0,45,4500001
65,2019,450000100266,450000100266,12,5,1,0,45,4500001
66,2019,450000100266,450000100266,12,4,2,0,45,4500001
67,2019,450000100266,450000100266,12,4,1,0,45,4500001
68,2019,450000100266,450000100266,12,2,2,0,45,4500001
69,2019,450000100266,450000100266,12,2,1,0,45,4500001
70,2019,450000100266,450000100266,12,3,2,0,45,4500001
71,2019,450000100266,450000100266,12,3,1,0,45,4500001
72,2019,450000100266,450000100266,12,6,2,0,45,4500001
73,2019,450000100266,450000100266,12,6,1,0,45,4500001
74,2019,450000100266,450000100266,12,9,9,0,45,4500001
75,2019,450000100266,450000100266,12,7,2,0,45,4500001
76,2019,450000100266,450000100266,12,7,1,0,45,4500001
77,2019,450000100266,450000100266,12,1,2,0,45,4500001
78,2019,450000100266,450000100266,12,1,1,0,45,4500001
79,2019,450000100266,450000100266,12,99,99,0,45,4500001
80,2019,450000100939,450000100939,12,5,2,0,45,4500001
81,2019,450000100939,450000100939,12,5,1,0,45,4500001
82,2019,450000100939,450000100939,12,4,2,0,45,4500001
83,2019,450000100939,450000100939,12,4,1,0,45,4500001
84,2019,450000100939,450000100939,12,2,2,0,45,4500001
85,2019,450000100939,450000100939,12,2,1,0,45,4500001
86,2019,450000100939,450000100939,12,3,2,0,45,4500001
87,2019,450000100939,450000100939,12,3,1,0,45,4500001
88,2019,450000100939,450000100939,12,6,2,0,45,4500001
89,2019,450000100939,450000100939,12,6,1,0,45,4500001
90,2019,450000100939,450000100939,12,9,9,0,45,4500001
91,2019,450000100939,450000100939,12,7,2,0,45,4500001
92,2019,450000100939,450000100939,12,7,1,0,45,4500001
