,crdc_id,year,ncessch,leaid,fips,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
0,450000100063,2017,450000100063,4500001,45,325991,392367.000,,-2.000,29686.000,36689.500,47914.000,0.000,1.000,0.500
1,450000100148,2017,450000100148,4500001,45,302826,416340.000,,-2.000,32858.000,80656.000,27742.000,0.000,1.000,1.000
2,450000100238,2017,450000100238,4500001,45,626786,728994.000,,-2.000,32858.000,69350.000,24384.000,0.000,1.000,1.000
3,450000100255,2017,450000100255,4500001,45,346874,586268.000,,-2.000,157170.000,82224.000,45003.000,0.000,3.000,1.000
4,450000100266,2017,450000100266,4500001,45,109620,143522.000,,-2.000,-2.000,33902.000,3286.000,0.000,0.000,0.500
5,450000100939,2017,450000100939,4500001,45,174556,239173.500,,-2.000,32858.000,31759.000,14542.000,0.000,1.000,0.500
6,450000101376,2017,450000101376,4500001,45,197713,264943.000,,-2.000,31824.000,35406.000,5838.000,0.000,1.000,0.500
7,450000101378,2017,450000101378,4500001,45,108667,384298.500,,-2.000,181955.000,93676.000,29729.000,0.000,3.000,1.000
8,450000101423,2017,450000101423,4500001,45,229121,332696.000,,-2.000,65716.000,37859.000,23462.000,0.000,2.000,0.500
9,450000200435,2017,450000200435,4500002,45,1035464,1798131.000,,123736.000,121223.000,297515.000,241941.000,5.000,2.000,2.000
10,450000200439,2017,450000200439,4500002,45,934899,1912115.000,,150831.000,191749.000,289048.000,59211.000,5.000,3.000,2.000
11,450000200444,2017,450000200444,4500002,45,2532134,4139064.000,,322920.000,231650.000,369446.000,19330744.000,16.000,3.000,3.000
12,450000200445,2017,450000200445,4500002,45,2041367,3474413.000,,110235.000,222269.000,333044.000,285954.000,6.000,3.000,3.000
13,450000201597,2017,450000201597,4500002,45,785776,1373885.000,,91783.000,115920.000,172114.000,66678.000,2.000,2.000,2.000
14,450000201600,2017,450000201600,4500002,45,741970,1379928.000,,51607.000,172897.000,141945.000,46391.000,2.000,3.000,2.000
15,450000401226,2017,450000401226,4500004,45,421941,674649.000,,129459.000,87570.000,35679.000,121453.000,4.000,2.500,0.400
16,450000401227,2017,450000401227,4500004,45,513940,606889.000,,-2.000,48516.000,44433.000,111340.000,0.000,2.000,0.450
